ConstituentID,TextType,BioDsp,PrimaryBio
55,Artist Biography,"<P>John White Alexander moved to New York at the age of eighteen and began working as an office boy at <I>Harper's Weekly,</I> where he was promoted to illustrator in 1875. Two years later he enrolled at the Royal Academy in Munich, and from 1879 to 1881, he traveled and studied with Frank Duveneck in Italy. Upon returning to New York, he resumed work as an illustrator and also painted portraits. From 1881 to 1889, Alexander was an instructor of drawing at Princeton University. During this period he also traveled to North Africa, England, and many other countries. In 1890 he moved to Paris, where he exhibited with the Soci谷t谷 Nationale des Beaux-Arts and was later elected a member. In 1895 he was commissioned to paint a mural for the Library of Congress in Washington, D.C. , and in 1905 he received a commission for a mural at the Carnegie Institute. Alexander was a member of many art associations and won numerous awards for his work, including the Lippincott Prize at the Pennsylvania Academy of the Fine Arts in 1899, the Gold Medal of Honor at the Paris Exposition Universelle in 1900, and the Medal of the First Class at the Carnegie Institute International Exhibition in 1911.</P>  <P>Joann Moser <EM>Singular Impressions: The Monotype in America</EM> (Washington, D.C. and London: Smithsonian Institution Press for the National Museum of American Art, 1997)</P>",Primary
55,Artist Biography,"<p>John White Alexander, a native of Allegheny City, Pennsylvania, worked as an illustrator in <i>Harper and Brothers</i> in his youth, just as Winslow Homer had done a decade before. In 1877, White joined the 'Duveneck boys' in Munich, where training, much influenced by Hals, Vel&#225;zquez and Courbet, was freer and looser than that of Paris or Dusseldorf. The work of the Munich artists was often richly brushed in a predominantly dark palette, and although the vogue was brief and was supplanted by the Barbizon and Paris schools, it produced a number of talented Americans, notably Frank Duveneck, William Merritt Chase, John White Alexander, and, John Twachtman.</p><p>In 1891, Alexander moved to Paris and over the next ten years gained prominence as an exponent of the current Art Noveau trend. However this was only one of several influences that converged on him and other artists during these years. In the 1890s proponents of the so-called Aesthetic Movement decried the Ruskinian conviction that art must perform a moral and didactic function and instead asserted that art was autonomous and self-referential. Free of literary, narrative conventions, artists could favor mood over story and assert the formal, evocative properties of color and line for their own sake.</p><p>This new freedom encouraged a shift in subject matter toward the representation of objects and figures that were simply beautiful in themselves. The culture of the 1890s, gritty and ugly as it appeared, produced such subject matter in abundance. The century's end had witnessed the explosive growth of commerce, industry, and urban concentration, contributing to the creation of great fortunes in few hands; it also contributed to a radical adjustment in the social roles of women of the upper and middle classes. Deprived of the centrally productive role they had previously performed in a rural society, women were now relegated to a decorative role, serving as beautiful symbols of male wealth and status. As such they were bountifully represented by artists, and their images were eagerly acquired by patrons. It is noteworthy that in the current exhibition of fifty-two paintings there are twenty-four representations of women, almost exclusively upper class, and only one male self-portrait.</p><p>Alexander's many depictions of beautiful women were also colored by his susceptibility to the prevailing Art Nouveau, an elaborately decorative style that emphasizes the use of sinuous and sensuous contours. This movement was popularized by the drawings of Aubrey Beardsley, the dramatic posters of Alphonse Mucha, and the stained glass of Louis Comfort Tiffany. Alexander's work was also touched by the prevailing vogue for symbolism, the visual evocation of an idea, of an emotion through the association of analogous qualities. </p><p>Emery Battis Artist Biographies for the exhibition <i>American Impressionism: Treasures from the Smithsonian American Art Museum</i> (Washington, D.C.: Smithsonian American Art Museum, 2000)</p>",NULL
84,Luce Artist Biography,"<p>Not much is known about Daniel Ames, except that he was a portrait and miniature painter working in New York City until the early 1850s, and thereafter in Canarsie, New York. A quiet fishing and farming village until the 1870s, Canarsie now forms part of Brooklyn.</p>",NULL
85,Luce Artist Biography,"<p>Ezra Ames began his career as a carriage painter, and broadened his skills to include engraving and painting miniatures. His popularity as a portraitist is measured by the reputations of his sitters, who included Governor Clinton of New York, Stephen van Rensselaer, and Gouverneur Morris of New Jersey. In Albany he painted more than four hundred and fifty portraits of New York politicians and leaders.</p>",NULL
87,Artist Biography,"<p>Leo Amino&mdash;born in Taiwan in 1911 where his father was an agricultural consultant for the Japanese government&mdash;was reared in Tokyo. In 1929, he immigrated to the United States and studied at San Mateo Junior College in California for two years and, later, at New York University. He remained in New York to work for a Japanese wood importing firm and took home ebony samples to carve. Although he had received no formal art training, his interest in sculpture grew rapidly and, in 1937, he studied briefly at the American Artists School with Chaim Gross, a leading proponent of direct carving.</p><p>Direct carving in wood or stone emphasizes properties of the material. The unique and distinctive patterns of veining, grain and color result in simplified sculptural forms and smooth geometrical outlines which harmonize with Amino's native sensibilities.</p><p>His work was exhibited at the 1939 World's Fair and he was given his first solo exhibition in 1940. Since then, he has shown almost continuously in commercial galleries and museums. In 1947 and 1950, he taught at the renowned Black Mountain College in North Carolina.<p><p>Amino taught at Cooper Union from 1952 until 1977 and, during that period, he continued to experiment.</p><p>""Recent Acquisition."" <i>National Museum of American Art Calendar of Events</i> (Washington, D.C.: National Museum of American Art, Smithsonian Institution, October 1987)</p>",NULL
87,Luce Artist Quote,"※In his work, [Amino] played with illusions of immateriality.§ Harry Rand, Curator, Smithsonian American Art Museum, 1987",NULL
87,Luce Artist Biography,"<p>Leo Amino was born in Taiwan and grew up in Tokyo. After moving to the United States in 1929, he studied direct carving, a technique that emphasizes the marks of the tools and the patterns in the wood or stone. Amino wanted to incorporate more color into his pieces, and he experimented with various methods, including painting wood, mixing pigments with plaster, and carving pieces of colored polystyrene. In 1948 he pioneered the technique of casting polyester resin, allowing him to apply color and texture directly between the transparent layers of his sculptures.</p>",NULL
95,Luce Artist Quote,"<p>I am trying to avoid the limits of sculpture. Sculpture is a comment on all of life, not just on the art of sculpture itself. Jeremy Anderson, quoted in <i>Artweek</i>, March 22, 1975</p>",NULL
95,Luce Artist Biography,"<p>Jeremy Anderson grew up in an academic environment. His father was a Stanford University professor who periodically homeschooled his children because he did not trust the school system. After serving in the Navy, Anderson tried writing a novel but did not like the results. He studied sculpture at the California School of Fine Arts before moving to France in 1950. While living in the Breton village of Carnac-Plage, Anderson was awed by the rows of great stones there and became interested in mythology, pagan rituals, and symbolism. He tried free association to help him delve into his experiences, fantasies, and thoughts and worked with a variety of materials, ranging from Styrofoam to bronze. Anderson also appreciated the literary works of James Joyce and often incorporated verbal puns and visual humor into his sculptures.</p>",NULL
101,Artist Biography,"<p>Born June 11, 1835, in Steubenville, Ohio. Graduated from Marietta College, Ohio. Married Emma Stewart, 1857. Studied with L&uuml;dwig Knaus and Heinrich M&uuml;cke in D&uuml;sseldorf, 1859&ndash;63, and with L&eacute;on Bonnat in Paris, 1863. In Steubenville, 1863&ndash;76. Visited New York, 1863, and D&uuml;sseldorf and Paris, 1873. Lived in Washington, D.C., 1876&ndash;1915. Gave free instruction at the Corcoran Gallery of Art, 1877&ndash;87. Served as director and instructor of art at the Corcoran School of Art, 1887&ndash;1902. Visited Paris, 1888, 1891. Married Marietta Minnigerode, 1895. Had a studio-house on Scott Circle, and a country house, ""Vaucluse,"" in Alexandria, Va. Died March 19, 1915, in Washington, D. C.</p><p>Andrew J. Cosentino and Henry H. Glassie <i>The Capital Image: Painters in Washington, 1800&ndash;1915</i> (Washington, D.C.: Smithsonian Institution Press for the National Museum of American Art, 1983)</p>",NULL
109,Artist Biography,"<p>As early as 1880, Anshutz was using his photographs as preparatory studies for paintings.  Like Thomas Eakins, his teacher and colleague at the Pennsylvania Academy of the Fine Arts, Anshutz made photographs that served as compositional experiments or reminders of details of landscape or figures.  As a painter committed to direct observation, Anshutz was intrigued by Eadweard Muybridge's sequential photographs of moving human figures and occasionally assisted him at the Academy.</p><p>Anshutz posed his models to capture body movements and gestures and provide outdoor compositional arrangements.</p> <p>Introduced in the 1840s and easy to process, cyanotype were originally used by mapmakers and scientists.  In the late nineteenth century the cyanotype found renewed interest among artists and amateur photographers.</p><p>Merry A. Foresta <i>American Photographs: The First Century</i> (Washington, D.C.: National Museum of American Art with the Smithsonian Institution Press, 1996)</p>",NULL
109,Luce Artist Biography,"<p>Thomas Anshutz studied at the National Academy of Design in New York before entering the Pennsylvania Academy of the Fine Arts in 1876. While there, he was inspired by the American realist painter Thomas Eakins, and excelled in the study of human anatomy, which was a core part of Eakins's teaching. In 1881, Anshutz joined the faculty of the Pennsylvania Academy of the Fine Arts and became known as a distinguished teacher.</p>",NULL
112,Artist Biography,"<p>A former railroad worker, this Navajo artist also spent years herding sheep and goats in northern New Mexico's thinly populated Bisti region. He was in his early fifties when he began carving small sculptures from the local cottonwood. By carving secular human figures, he consciously violated a Navajo taboo, but his need to portray the Native American society in which he spent his life proved stronger than tradition. </p><p>Tom Patterson <i>Contemporary Folk Art: Treasures from the Smithsonian American Art Museum</i> (New York and Washington, D.C.: Watson-Guptill Publications, in cooperation with the Smithsonian American Art Museum, 2001)</p>",NULL
112,Luce Artist Quote,"I don＊t make them for sale. I make them for myself, but I need the money. Unfortunately, the cash will soon be gone, but the dolls will live forever. The artist, quoted in Chuck and Jan Rosenak, <i>Museum of American Folk Art Encyclopedia,</i> 1990",NULL
112,Luce Artist Biography,"<p>Johnson Antonio started making what he calls ""dolls"" when he was around fifty years of age. He found a piece of cottonwood and carved a Navajo figure, which he gave to his youngest child as a toy. Antonio herds sheep and goats on the Bisti hills of New Mexico, a high, arid area with only a few inhabitants. Water and wood have to be brought from the small town of Farmington, more than forty miles away, and until recently the Antonio family made this trip in a horse-drawn wagon (Chuck and Jan Rosenak, <i>Museum of American Folk Art Encyclopedia</i>, 1990). The weary animals and humble clothing in his sculptures express the hardship experienced by Native Americans in remote areas.</p>",NULL
115,Luce Artist Biography,"<p>Joe Apodaca began making jewelry while still in high school. He remembers thinking ※Gosh, this is exactly what I want to do. I want to spend my life doing this.§ <i>Lapidary Journal</i>, November 1999  With his wife, Linda, a native Californian, Joe Apodaca has forged an influential career as a teacher and prolific studio jeweler based in the Pacific Northwest. He and Linda collaborate on jewelry and sculptures made of precious metals, steel, and concrete. Apodaca established the jewelry program at the Oregon College of Arts and Crafts, leading the students there in workshops until he was ready to devote himself full-time to his studio work.</p>",NULL
125,Luce Artist Biography,"<p>Anna Margaretta Archambault was a Philadelphia-based artist and served as director of the Philadelphia School of Miniature Painting during the early twentieth century. She is best known as the editor of <i>A guide book of art, architecture, and historic interests in Pennsylvania,</i> published in 1924.</p>",NULL
128,Artist Biography,"<p>Alexander Archipenko was a sculptor who was born in the Ukraine. After working in Paris, Archipenko moved to the U.S. and became a citizen in 1928. An important influence on sculpture in this country and abroad, Archipenko experimented with simplified forms, spaces enclosed within the sculpture, concave shapes as counterpoints to convex and concave planes, and polychromy. He taught at several universities and had his own sculpture schools in Chicago and New York.</p><p><i>National Museum of American Art</i> (CD-ROM) (New York and Washington D.C.: MacMillan Digital in cooperation with the National Museum of American Art, 1996)</p>",NULL
128,Luce Artist Biography,"<p>Alexander Archipenko grew up in <st1:place><st1:City>Kiev</st1:City>, <st1:country-region>Russia</st1:country-region></st1:place>, where he studied painting and sculpture at the <st1:place><st1:PlaceName>Kiev</st1:PlaceName> <st1:PlaceName>Art</st1:PlaceName> <st1:PlaceName>School</st1:PlaceName></st1:place>. In 1908?he moved to <st1:City><st1:place>Paris</st1:place></st1:City> and exhibited with a group of avant-garde artists that included Marcel Duchamp and Fernand L谷ger.?Archipenko created some of the earliest multimedia sculptures, working with glass, wire, and wood, and was one of the first modern artists to add color to?sculpted form. In 1923, Archipenko moved to the <st1:country-region><st1:place>United States</st1:place></st1:country-region>, where he opened art schools in <st1:City><st1:place>New York City</st1:place></st1:City> and <st1:City><st1:place>Woodstock</st1:place></st1:City> and taught in universities across the country.</p>",NULL
129,Artist Biography,"<p>Felipe Archuleta makes his sculptures out of wood and other materials he finds himself or obtains from his neighbors. He uses carpenter's tools to fashion the various parts of each work, and nails and glue to assemble them. He smoothes the joins with a mixture of sawdust and glue, which also builds up the surfaces.</p><p>Archuleta's first sculptures depicted those animals he knew best&mdash;sheep, rabbits, burros, and cats. He soon began to make larger, sometimes life-size, animal sculptures, expanding his repertoire to include giraffes, elephants, monkeys, and others based on pictures he found in children's books and natural history magazines. Archuleta generally emphasizes the ferocious nature of the animals he portrays by providing them with irregularly carved teeth, wide-eyed stares, and exaggerated snouts and genitals.</p><p>Felipe Archuleta, who has spent most of his life in Tesuque, New Mexico, worked as a carpenter for over thirty years. In 1967, unable to find work, he prayed to God to alleviate his poverty and desperation. His subsequent religious awakening led to his work as a carver of animals, for which he has been justly celebrated.<p><p><i>Hispanic-American Art</i> (brochure, Washington, D.C.: National Museum of American Art)</p>",NULL
129,Luce Artist Quote,"<p>※You know, too much work to satisfy too many people. They only want me. They say, ＆Felipe, you make the best.＊§ Felipe Archuleta, quoted in Davis Mather, ※Felipe Archuleta Folk Artist,§ <i>The Clarion,</i> Summer 1977</p>",NULL
129,Luce Artist Biography,"<p> Felipe Archuleta trained as a carpenter and in 1943 joined the United Brotherhood of Carpenters and Joiners of America. He felt the union didn＊t give him enough work to support his wife and seven children, however, so he asked God to give him a talent. He started carving a few days later and soon developed a distinctive range of animals with exaggerated body proportions, fierce faces, and sharp claws. (Chuck and Jan Rosenak<i>, Museum of American Folk Art Encyclopedia</i>, 1990)</p>",NULL
131,Artist Biography,"<P>Born in Detroit, Michigan, 1935. Currently lives in Flagstaff, Arizona, where he is an instructor in photography at Northern Arizona University. An exhibition featuring Arentz's work was organized by the Huntington Museum of Art, Huntington, West Virginia, in 1990. His book <I>Four Corners Country</I> was published in 1986.</P>  <P>Merry A. Foresta, Stephen Jay Gould, and Karal Ann Marling <I>Between Home and Heaven: Contemporary American Landscape Photography</I> (Washington, D.C. and Albuquerque, New Mexico: The National Museum of American Art in association with the University of New Mexico Press, 1992)</P>",NULL
134,Artist Biography,"<p>Born in Romania. Immigrated to the United States at age twenty-two. Painter known for his use of vibrant color and brushwork.</p><p>Nora Panzer, ed. <i>Celebrate America in Poetry and Art</i> (New York and Washington, D.C.: Hyperion Paperbacks for Children in association with the National Museum of American Art, Smithsonian Institution,  1994)</p>",NULL
134,Luce Artist Quote,"<p>※You see it＊s like this . . . A man must produce what is in him . . . I tried to say what was in me.§ Emil Armin, 1929, quoted in McKenna, <i>Emil Armin, 1883-1971</i>, 1980</p>",NULL
134,Luce Artist Biography,"<p> Emil Armin showed a talent for art as a child in Austria. His parents died when he was ten, and Armin was forced to work odd jobs to support the family. He waited tables and sketched in his spare time until a brother encouraged Armin to join him in Chicago. Armin enrolled in courses at the Art Institute, where George Bellows and Randall Davey encouraged him to paint spontaneously and expressively. By the early 1920s, he was a star on the Chicago art scene, participating in various exhibitions and progressive art organizations and working with the Jewish Board of Education to teach art in the schools. (McKenna, <i>Emil Armin, 1883-1971</i>, 1980)</p>",NULL
135,Artist Biography,"<p>Graphic artist, first trained as an architect.  He is best known for his etchings of medieval French architecture, which are characterized by attention to intricate detail.</p><p>Joan Stahl <i>American Artists in Photographic Portraits from the Peter A. Juley & Son Collection</i> (Washington, D.C. and Mineola, New York: National Museum of American Art and Dover Publications, Inc., 1995)</p>",NULL
140,Artist Biography,"<p><i>Feeling Pushed</i> captures Robert Arneson at an especially stressful moment in his life. Two years earlier, he had been diagnosed with cancer, possibly caused by the chemicals contained in his art materials. He underwent surgery and was required to return to the hospital numerous times. Despite this serious threat to his health, Arneson injects humor into his self-portrait, even vulgarity. His face seems to be pushed up against a piece of transparent glass that flattens his nose into a piggish snout, while his wild hair and wrinkled features expresss the tension and anxiety that characterize his state of mind. The artist appears like a specimen prepared for a microscopic examination. Areneson frequently turned to self-portraiture as a means to examine his relationship with the world, expressing serious thought and difficult emotional content through the filter of a humorous mask.</p><p>Joann Moser <i>Graphic Masters: Highlights from the Smithsonian American Art Museum</i> (Washington, D.C. : Smithsonian American Art Museum, 2003)</p>",NULL
140,Luce Artist Quote,"<p>※Busts are always so proper . . . too idealized, just so dull looking. I want [the bust] . . . to get you right back and make you stay your distance.§ Robert Arneson, <i>The Oakland Museum</i>, January/February, 1987</p>",NULL
140,Luce Artist Biography,"<p>As a child, Robert Arneson aspired to become a sports cartoonist, and when he was seventeen, contributed a weekly cartoon to the local newspaper. Arneson studied to become an art teacher and worked in watercolor until he discovered the ceramics of Peter Voulkos. Arneson began working in clay, making comic self-portraits in which he showed himself smoking a cigar, dressed as Santa Claus, or with his fingers up his nose; he also made portraits of friends, fellow artists, and politicians. In the 1960s and 1970s, Arneson was a leader of the funk art movement of Bay Area artists who focused on the absurdity of everyday objects. Many of his sculptures offer visual puns and sarcastic observations, and depict toasters, urinals, and bottles of soda. Late in his career, Arneson applied his dark humor and biting sarcasm to address political issues. With titles like <i>Holy War Head</i> and <i>General Nuke</i>, his sculptures of devastation and human carnage warn us about the consequences of nuclear war and the arms race.</p>",NULL
142,Artist Biography,"<p>Arning, like many self-taught  artists, used magazine advertisements and illustrations as models or inspiration for his work. Nonetheless his work is highly individual; the link with the original source is often difficult to discern. Most of the print sources for Arning's drawings have been saved. Institutionalized for most of his adult life, Arning was introduced to drawing in 1964 by a hospital worker who supplied him with materials. Arning's medium from 1964 to 1969 was Crayolas. In 1969, he switched to oil pastels, or ""Cray-pas."" Regardless of his media, Arning always worked in the same manner, covering the entire surface of the paper with dense strokes of color. He stopped drawing in 1974; a year after leaving his nursing home.</p><p>Lynda Roscoe Hartigan <i>Made with Passion: The Hemphill Folk Art Collection in the National Museum of American Art</i> (Washington, D.C. and London: National Museum of American Art with the Smithsonian Institution Press, 1990)</p>",NULL
146,Luce Artist Quote,"<p>""As an artist I believe in anything that will set my imagination in motion toward the purpose of creating meaningful fantasies. For art is not a reflection of experienced reality. It exists in a world of illusions."" Artist's statement, <i>Real and Unreal: The Double Nature of Art</i>, Boston University lecture, 1967</p>",NULL
146,Luce Artist Biography,"<p>David Aronson's father was a rabbi who raised him in the Orthodox Jewish tradition. As a boy, Aronson began rigorous religious studies to follow in his fathers footsteps, but by the time he was a teenager he had decided to refuse confirmation. However, he uses his religious background as inspiration in his art, which includes imagery from Christianity, Orthodox Judaism, and Jewish mysticism. Aronson prefers an expressionistic approach to a realistic one, and emphasizes the figures' emotions in his interpretations of religious stories.</p>",NULL
148,Luce Artist Biography,<p>The Arroyo Hondo Painter was named for a large altar screen he completed for the church of Nuestra Se?ora de los Dolores de Arroyo Hondo in New Mexico. He created devotional images of religious figures and often decorated his work with patterns of tiny dots and dashes.</p>,NULL
154,Artist Biography,"<p>""I wake up with an idea that  won't let me get back to sleep. So I get up and make that idea.""  Steve Ashby converted most of his ideas into objects in the early 1960s after his wife had died and he retired from his years of work as a farm hand and gardener. Ashby's favorite subjects were figures and animals, often inspired by the agrarian activities of Fauquier County, Virginia, where his ancestors had been slaves. Some of his figures were wind-activated to perform various activities that ranged from the domestic to the pornographic. Others include parts that move when handled. </p><p>Lynda Roscoe Hartigan <i>Made with Passion: The Hemphill Folk Art Collection in the National Museum of American Art</i> (Washington, D.C. and London: National Museum of American Art with the Smithsonian Institution Press, 1990)</p>",NULL
154,Luce Artist Biography,"<p>Steve Ashby started carving full-time after his wife died in 1962. He created figures and animals from tree branches or plywood, and decorated them with a wide variety of found objects. His yard in Fauquier County, Virginia, was filled with large figures dressed in his wife's old clothes and accessories.</p>",NULL
162,Luce Artist Biography,"<p>Little is known about the artist Lewis Aubineau, except that he lived in New York at the beginning of the nineteenth century and was also known as Lewis Obeno. The name Aubineau suggests he was a descendant of the French Creoles of present-day Louisiana, or the Acadians, who settled in what is now Nova Scotia.</p>",NULL
171,Artist Biography,"<p>Ault was brought up in England and came late to an appreciation of his American origins. After training at University College School in London, the Slade School, and St. John's Wood School of Art, his painting style was described as an Anglicized version of impressionism. But when he returned to America in 1911 he began to paint New York night scenes and architectural subjects in a spare, modernist style. This caused his father, an academic painter, to stop supporting him. In the 1920s, on vacation in Provincetown, he painted the local scenery in oils and watercolors. These works were shown at a local gallery and in New York. In the early 1930s he worked on New Deal art projects, gradually severing most of his ties with the art market. He moved to Woodstock, New York, in 1937, but avoided life in the art colony there. A nearby barn, which he painted three times, was a favorite subject, symbolizing for hire a dying, agrarian way of life in the Catskills. In this sense his work echoed, from his own modernist viewpoint, the preservationist themes of many New England artists. Ault's life, plagued by illness, depression, and poverty, ended with his suicide in 1948. </p><p>William H. Truettner and Roger B. Stein, editors, with contributions by Dona Brown, Thomas Andrew Denenberg, Judith K. Maxwell, Stephen Nissenbaum, Bruce Robertson, Roger B. Stein, and William H. Truettner <i>Picturing Old New England: Image and Memory</i> (Washington, D.C.; New Haven, Conn; and London: National Museum of American Art with Yale University Press, 1999)</p>",NULL
171,Luce Artist Biography,"<p>George Ault studied art in London, then returned to America in 1911 and settled in Hillside, New Jersey, with his family. In 1922 he established a studio in New York City, painting images inspired by the rooftops and buildings he saw from his window. Ault experienced a great deal of tragedy during the early years of his career. One of his brothers committed suicide in 1915, his mother died five years later, and his father died in 1929. After the death of his father, Ault's two remaining brothers took their own lives. In the 1930s, depressed and struggling with alcoholism, Ault lost touch with many of his artist friends and gallery contacts in New York. He moved to Woodstock with his wife, Louise, and rented a small house without indoor plumbing or electricity, isolating himself from the nearby artists' colony. By the late 1940s, the couple had very little money and most of Ault's attempts to reestablish himself in the New York art scene had failed. He died in 1948 at the age of fifty-seven, in what was probably a suicide. (Lubowsky, <i>George Ault</i>, 1988)</p>",NULL
172,Artist Biography,"<p>Autio received a BA from Montana State University, an MFA from Washington State University, and a D.F.A. from the Maryland Institute of Art. From 1952 to 1956, he worked at the Archie Bray Foundation in Montana with Peter Voulkos and was greatly influenced by Voulkos's abandonment of traditional pottery for more expressive work. Autio gained a national reputation by applying Abstract Expressionist concepts to utilitarian ceramic objects. He currently works with welded steel sculpture.</p><p><i>National Museum of American Art</i> (CD-ROM) (New York and Washington D.C.: MacMillan Digital in cooperation with the National Museum of American Art, 1996)</p>",NULL
176,Artist Biography,"<P>Milton Avery lived in and around Hartford, Connecticut, until 1925, when he moved to New York City. A factory worker as a young man, one day he saw an advertisement for a class in lettering at the Connecticut League of Art Students and enrolled. He thought he might make money at this pursuit, butwhen the class was canceled〞just a month after he entered〞he took a life drawing class instead. (1) In 1918, while working for an insurance company at night, he studied at the School of the Art Society of Hartford. The following year, he won top honors in the portrait and life drawing classes. In 1920 Avery began spending summers in Gloucester, Massachusetts. There, in 1924, he met a young painter named Sally Michel. He followed her to New York, and in 1926 they were married. At the beginning of their marriage, Sally Avery determined to place her own artistic concerns second to those of her husband, and she worked as a freelance illustrator to free Avery from the need to support hisfamily.</P>  <P>Avery's early training had prepared him for a career as an academic painter. But he frequented the New York galleries thatexhibited modernist European art, including the Valentine Gallery, which held a retrospective of Matisse's work in 1927. By 1930, references to Matisse and Picasso can be discerned in Avery's paintings, and he began to introduce the simplified forms and flattened space that would, along with clear, unmodulated color, become the hallmarks of his later work. The 1930s were financially precarious times for the Averys. Avery exhibited his work frequently, but it didnot sell well. However, a 1935 invitation to join the prestigious Valentine Gallery, which exhibited Matisse, Picasso, Mir車, Derain, Braque, Kandinsky, Stuart Davis, and others, had a vitalizing effect on his painting and his outlook.</P>  <P>Although Avery never joined any of the artists' organizations that proliferated in New York during the 1930s, the couple's apartment became a meeting ground for young painters. Adolph Gottlieb, Mark Rothko, and Barnett Newman were frequent visitors, and often joined the Averys during summers spent in Gloucester or southern Vermont. Many of Avery's paintings originated during these summers away from the city. A quiet man who seldom participated in conversations about him, Avery constantly sketched〞landscapes, people, interiors〞whatever was at hand. Around 1938, the Averys began organizing sketch classes where they and their friends shared the costs of a model. John Opper was among those who congregated at the Averys and remembered the lively talk and stimulating company.</P>  <P>In 1943, Avery joined the New York gallery of Paul Rosenberg, an important dealer who had been forced to flee Paris when the Nazis took the city. This affiliation, coupled with a retrospective exhibition at the Phillips Memorial Gallery in 1944, brought Avery national acclaim. Yet sales remained few, and New York museums, for the most part, showed little enthusiasm for his work. Avery persisted nonetheless, refining form and clarifying color. In 1946, the family spent three months in Mexico, where not only the landscape but the peasants and city streets offered new subject matter.Three years later Avery suffered a heart attack from which he never fully recovered. Prevented by his health from workingoutdoors, Avery began making monotypes, a medium that requires rapid execution. These monotypes affected his paintingstyle, and after about 1950, Avery increasingly eliminated extraneous detail from his work and began focusing on the harmony of the overall canvas rather than the interrelation of its parts. (2) Critical acclaim for Avery's work waned for several years during the early 1950s, eclipsed, perhaps, by Abstract Expressionism. Yet, by late in the decade, his independent vision, distilled, vibrant color, and acutely refined forms had secured his recognition as one of the most subtly powerful artists in mid-century America.</P>  <P>1. The best, and most accurate, account of Avery's early years and subsequent career can be found in Barbara Haskell, <I>Milton Avery</I> (New York: Whitney Museum of American Art in association with Harper and Row, 1982).</P>  <P>2. Barbara Haskell, <I>Milton Avery</I> (New York: Whitney Museum of American Art in association with Harper and Row, 1982) p.117.</P>  <P>Virginia M. Mecklenburg <I>The Patricia and Phillip Frost Collection: American Abstraction 1930每1945</I> (Washington, D.C.: Smithsonian Institution Press for the National Museum of American Art, 1989)</P>",NULL
176,Artist Biography,"<P>Born in Sand Bank, New York, Milton Avery moved to Hartford, Connecticut, with his family in 1898. He held many jobs, working as an assembler, latheman, and mechanic before enrolling in a lettering class at the Connecticut League of Art Students in Hartford in 1905. Charles Noel Flagg, the school's director, persuaded Avery to transfer to a life-drawing class, which launched his career in fine arts. In 1918 Avery transferred to the School of Art at the Society of Hartford and exhibited his work while also holding down a variety of jobs, among them clerk and construction worker. In 1924 he became a member of the Connecticut Academy of Fine Arts and a year later moved to New Jersey. From 1926 to 1938, he attended sketch classes at the Art Students League in New York, where he became a friend of Adolph Gottlieb, Mark Rothko, and Barnett Newman. In 1938 Avery worked as an artist in the Easel Division of the WPA Federal Art Project. About 1949, Avery began to experiment with monotypes. In 1952 he visited Europe and began working in woodcut. By 1957, his paintings had become much larger in scale. Among the many places that exhibited Avery?s work were the Phillips Memorial Gallery, the Art Institute of Chicago, and the Durand-Ruel Galleries in New York.</P>  <P>Joann Moser <EM>Singular Impressions: The Monotype in America</EM> (Washington, D.C. and London: Smithsonian Institution Press for the National Museum of American Art, 1997)</P>",Primary
176,Luce Artist Biography,"<p>Milton Avery moved with his family to Hartford, Connecticut, when he was twenty years old. He enrolled briefly at the Connecticut League of Art Students, but?left school so he could?work nights in a factory and paint by?day.?He and his wife, Sally, settled in New York in 1925, eating peanut butter and SPAM when money was tight. Throughout the 1930s and?'40s, Avery took time to encourage young artists in his circle, but also insisted on producing a painting a day, saying, ""Why talk when you can paint?"" (Haskell, <i>Milton Avery</i>,?1982)?His figural paintings were not popular in the postwar years, when abstract expressionism dominated American art, but Sally kept his spirits up, certain that his works would eventually find an audience. In the late 1950s, powerful critics finally offered their support, and Avery's sales improved. He suffered from poor health in his last twenty years, and the harmonious colors and perfect calm of his paintings reflect his wish to eliminate everything in his art---as in his life---that was not absolutely necessary.</p>",NULL
180,Artist Biography,"<p>Awa Tsireh, also known as Alfonso Roybal, was one of the first Pueblo painters to receive recognition by the Santa Fe art community.  After seeing several examples of Awa Tsireh's work for sale in a souvenir shop in 1917, Alice Corbin Henderson sought out the artist and through him developed a great respect for his work and that of his peers.  Awa Tsireh's success at selling his paintings, although few were sold for more than a dollar, encouraged other Pueblo artists to adapt their painting and design skills to the medium of watercolor paint on paper.  In the 1920s, Awa Tsireh received sponsorship from the School of American Research, then a branch of the Museum of New Mexico, to devote his full time to painting.  He was given studio space in the museum along with Fred Kabotie, a Hopi artist, and Velino Shije Herrera of Zia.</p><p>Andrew Connors <i>Pueblo Indian Watercolors: Learning by Looking, A Study Guide</i> (Washington, D.C.: National Museum of American Art, 1993).  Also available online at http://americanart.si.edu/education/pdf/pueblo_indian_watercolors.pdf.</p>",Primary
