City,County,State,Country
Hackney,NULL,NULL,England
Haddock,NULL,Georgia,United States
Haddonfield,NULL,New Jersey,United States
Hadley,NULL,Massachusetts,United States
Hagen,NULL,NULL,Germany
Hagerman,NULL,Idaho,United States
Hagerstown,NULL,Maryland,United States
Hagios Nikolaos,NULL,NULL,Greece
Hague,NULL,NULL,Netherlands
Hague,NULL,New York,United States
Haines,NULL,Alaska,United States
Halberstadt,NULL,NULL,Germany
Hale,NULL,Michigan,United States
Halifax,NULL,Nova Scotia,Canada
Hallandale,NULL,Florida,United States
Halsey,NULL,Oregon,United States
Hamburg,NULL,NULL,Germany
Hamburg,NULL,Pennsylvania,United States
Hamden,NULL,Connecticut,United States
Hamilton,NULL,Alabama,United States
Hamilton,NULL,Montana,United States
Hamilton,NULL,Ohio,United States
Hamilton,NULL,Ontario,Canada
Hamilton,NULL,Virginia,United States
Hamilton Township,NULL,Pennsylvania,United States
Hammer,NULL,NULL,Germany
Hampden,NULL,Maryland,United States
Hampshire,NULL,NULL,England
Hampton Falls,NULL,New Hampshire,United States
Hanamaki,NULL,Iwate Prefecture,Japan
Hancock,NULL,New Hampshire,United States
Hannibal,NULL,Missouri,United States
Hanover,NULL,NULL,Germany
Hanover,NULL,New Hampshire,NULL
Hanover,NULL,New Hampshire,United States
Hanover,NULL,Pennsylvania,United States
Hapeville,NULL,Georgia,United States
Hardesty,NULL,Oklahoma,United States
Harlan,NULL,Iowa,United States
Harmosand,NULL,NULL,Sweden
Harpenden,NULL,NULL,England
Harper's Ferry,NULL,Virginia,United States
Harpoot,NULL,NULL,Armenia
Harrisburg,NULL,Pennsylvania,United States
Harrison,NULL,New York,United States
Harrisonburg,NULL,Virginia,United States
Hart,NULL,Michigan,United States
Hartford,NULL,Connecticut,United States
Hartford,NULL,Kentucky,United States
Hartford,NULL,Michigan,United States
Hartford,NULL,New York,United States
Hartland,NULL,Vermont,United States
Harvard,NULL,Illinois,United States
Harvard,NULL,Nebraska,United States
Harwinton,Litchfield County,Connecticut,United States
Hasbrouck Heights,NULL,New Jersey,United States
Hastings,NULL,NULL,England
Hastings,NULL,Nebraska,United States
Hastings on Hudson,NULL,New York,United States
Hastings-on-Hudson,NULL,New York,United States
Hat Creek,NULL,California,United States
Hatch,NULL,New Mexico,United States
Hattiesburg,NULL,Mississippi,United States
Havana,NULL,NULL,Cuba
Haverhill,NULL,Massachusetts,United States
Havertown,NULL,Pennsylvania,United States
Hawley,NULL,Minnesota,United States
Hawthorne,Westchester County,New York,United States
Haydon Bridge,NULL,NULL,England
Haymarket,NULL,Virginia,United States
Hayward,NULL,California,United States
Hazard,NULL,Kentucky,United States
Hazelhurst,NULL,Mississippi,United States
Hazelwood,NULL,North Carolina,United States
Hazleton,NULL,Pennsylvania,United States
Hebrides,NULL,NULL,Scotland
Hebron,NULL,Nova Scotia,Canada
Hector,NULL,New York,United States
Helena,NULL,Montana,United States
Hemet,NULL,California,United States
Hempstead,NULL,New York,United States
Henderson,NULL,Kentucky,United States
Henderson,NULL,Texas,United States
Hendersonville,NULL,North Carolina,United States
Henniker,NULL,New Hampshire,United States
Heraklion,NULL,NULL,Greece
Herford,NULL,NULL,Germany
Hermanec,NULL,NULL,Czechoslovakia
Hermann,NULL,Missouri,United States
Herrnhut,NULL,NULL,Germany
Hertford,NULL,NULL,England
Heysham,NULL,NULL,England
Hickory,NULL,North Carolina,United States
High Falls,NULL,New York,NULL
High Falls,NULL,New York,United States
High Forest,NULL,Minnesota,United States
High Point,NULL,North Carolina,United States
Highland,NULL,New York,United States
Highland Park,NULL,California,United States
Highland Park,NULL,Illinois,United States
Highland Park,NULL,New Jersey,United States
Hill,NULL,New Hampshire,United States
Hilliard,NULL,Ohio,United States
Hillsboro,NULL,Maryland,United States
Hillsboro,NULL,North Carolina,United States
Hillsboro,NULL,Oregon,United States
Hillsborough,NULL,North Carolina,United States
Hillsdale,NULL,New Jersey,United States
Hillsdale,NULL,New York,United States
Hillside,NULL,New Jersey,United States
Hilo,NULL,Hawaii,United States
Hilton Head,NULL,South Carolina,United States
Hilversum,NULL,NULL,Holland
Hingham,NULL,Massachusetts,United States
Hinkley,NULL,Minnesota,United States
Hinsdale,NULL,Illinois,United States
Hinton,NULL,West Virginia,United States
Hiroshima,NULL,NULL,Japan
Hitchin,NULL,Hertfordshire,England
Ho Chi Minh City,NULL,NULL,Vietnam
Hobart,NULL,Tasmania,Australia
Hobe Sound,NULL,Florida,United States
Hoboken,NULL,New Jersey,United States
Hogansburg,Akwesasne Mohawk Reservation,New York,United States
Holland,NULL,Michigan,United States
Hollandale,NULL,Wisconsin,United States
Hollis,NULL,New York,United States
Holly,NULL,Michigan,United States
Hollywood,NULL,California,United States
Hollywood,NULL,Florida,United States
Holyoke,NULL,Massachusetts,United States
Hondo,NULL,New Mexico,United States
Hong Kong,NULL,NULL,China
Hongkong,NULL,NULL,China
Honjo,NULL,NULL,Japan
Honolulu,NULL,Hawaii,NULL
Honolulu,NULL,Hawaii,United States
Hood River,NULL,Oregon,United States
Hoosick,NULL,New York,United States
Hoosick Falls,NULL,New York,United States
Hope,NULL,Idaho,United States
Hopewell,NULL,New Jersey,United States
Hoquiam,NULL,Washington,United States
Horby,NULL,NULL,Sweden
Horncastle,NULL,NULL,England
Hornell,NULL,New York,United States
Horse Cave,NULL,Kentucky,United States
Horsham,NULL,Pennsylvania,United States
Horsholn,NULL,NULL,Denmark
Hot Springs,NULL,Virginia,United States
Hotevilla,NULL,Arizona,United States
Houlton,NULL,Maine,United States
Houston,NULL,Texas,United States
Hoxie,NULL,Kansas,United States
Hoy Ping,NULL,NULL,China
Hoyt,NULL,Kansas,United States
Huanpeta,NULL,NULL,Angola
Hubbard Lake,NULL,Michigan,United States
Huddersfield,NULL,NULL,England
Hudson,NULL,Michigan,United States
Hudson,NULL,New York,United States
Hughesville,NULL,Maryland,United States
Hughsville,NULL,Pennsylvania,United States
Hull,NULL,NULL,England
Hulst,NULL,NULL,Flanders
Huntingdon,NULL,Pennsylvania,United States
Huntington,NULL,New York,United States
Huntington,NULL,Pennsylvania,United States
Huntington,Long Island,New York,United States
Huntington Beach,NULL,California,United States
Huntington Park,NULL,California,United States
Huntington Station,NULL,New York,United States
Huntly,NULL,NULL,Scotland
Huntsville,NULL,Alabama,United States
Huntsville,NULL,Arkansas,United States
Huntsville,NULL,Texas,United States
Hurleyville,NULL,New York,United States
Hurstbourne Tarrant,NULL,NULL,England
Hutchinson,NULL,Kansas,United States
Hutchinson,NULL,Minnesota,United States
Hyannis,NULL,Massachusetts,United States
Hyattsville,NULL,Maryland,NULL
Hyattsville,NULL,Maryland,United States
Hyde Park,NULL,Massachusetts,United States
Ibiza,NULL,NULL,Spain
Ichteghem,NULL,NULL,Belgium
Ida Grove,NULL,Iowa,United States
Idaho Falls,NULL,Idaho,United States
Ile d' Orleans,NULL,Quebec,Canada
Ilion,NULL,New York,United States
Ilsenburg,NULL,NULL,Germany
Imola,NULL,California,United States
Imperial Beach,NULL,California,United States
Inchon,NULL,NULL,Korea
Independence,NULL,Iowa,United States
Independence,NULL,Missouri,United States
Independence,NULL,Virginia,United States
Indian Mills,Franklin County,West Virginia,United States
Indian Orchard,NULL,Massachusetts,United States
Indian River,NULL,Michigan,United States
Indian Springs,NULL,Alabama,United States
Indianapolis,NULL,Indiana,United States
Indianola,NULL,Iowa,United States
Inglewood,NULL,California,United States
Innsbruck,NULL,NULL,Austria
Intragna,NULL,NULL,Switzerland
Inverness,NULL,California,United States
Iowa City,NULL,Iowa,United States
Ipswich,NULL,NULL,England
Ipswich,NULL,Massachusetts,United States
Irasburg,NULL,Vermont,United States
Iron River,NULL,Michigan,United States
Irun,NULL,NULL,Spain
Irving,NULL,Texas,United States
Irvington,NULL,New Jersey,United States
Irvington,NULL,New York,United States
Irvington-on-Hudson,NULL,New York,United States
Isari,NULL,NULL,Greece
Iselin,NULL,New Jersey,United States
Islamorada,NULL,Florida,United States
Island Heights,NULL,New Jersey,United States
Isles of Shoals,NULL,New Hampshire,United States
Isonville,Elliott,Kentucky,United States
